Date,Open,High,Low,Close,Adj Close,Volume
3/12/2019,6.04,6.18,5.58,5.72,5.72,23819476
3/13/2019,5.72,5.94,5.54,5.79,5.79,22139945
3/14/2019,5.79,6.03,5.16,5.28,5.28,22907530
3/15/2019,5.28,5.33,4.79,5.12,5.12,37002691
3/16/2019,5.12,5.32,4.86,5.04,5.04,19975948
3/17/2019,5.04,5.09,4.53,4.63,4.63,18106075
3/18/2019,4.63,4.77,3.89,4.62,4.62,49194100
3/19/2019,4.62,6.26,4.52,6.18,6.18,77909968
3/20/2019,6.18,6.35,5.34,5.93,5.93,84203796
3/21/2019,5.93,7.28,5.84,6.9,6.9,89502747
3/22/2019,6.9,7.25,6.14,6.89,6.89,96445849
3/23/2019,6.89,7.07,6.22,6.94,6.94,82632857
3/24/2019,6.94,7.08,6.48,6.51,6.51,42126043
3/25/2019,6.51,6.67,6.37,6.43,6.43,25159269
3/25/2019,6.43,6.51,5.26,5.78,5.78,89497826
3/26/2019,5.78,6.52,5.18,5.8,5.8,109861151
3/27/2019,5.8,6.5,5.62,6.2,6.2,49373112
3/28/2019,6.2,6.29,5.75,5.88,5.88,69581065
3/29/2019,5.88,6.18,5.7,6.01,6.01,60017503
3/30/2019,6.01,6.16,5.86,5.93,5.93,24496899
3/31/2019,5.93,5.99,5.12,5.6,5.6,48725464
4/1/2019,5.6,5.9,5.5,5.82,5.82,27703153
4/2/2019,5.82,6.15,5.74,6.02,6.02,26234452
4/3/2019,6.02,6.07,5.5,5.67,5.67,23165677
4/4/2019,5.67,6.41,5.41,6.33,6.33,51809541
4/5/2019,6.33,6.38,5.67,5.84,5.84,52669141
4/6/2019,5.84,6.01,5.78,5.9,5.9,15067894
4/7/2019,5.9,6.02,5.84,5.98,5.98,12273126
4/8/2019,5.98,6.09,5.75,5.86,5.86,22941517
4/9/2019,5.86,6.08,5.75,6,6,20718978
4/10/2019,6,8.9,5.97,8.52,8.52,217616413
4/11/2019,8.52,9.28,7.86,8.83,8.83,234863030
4/12/2019,8.83,9.57,8.6,8.82,8.82,135286684
4/13/2019,8.82,9.23,8.11,8.71,8.71,81661653
4/14/2019,8.71,8.81,7.81,8.53,8.53,80533722
4/15/2019,8.53,8.53,7.81,8.12,8.12,61235004
4/16/2019,8.12,9.1,8.09,8.5,8.5,83929179
4/17/2019,8.5,9.23,8.45,9.04,9.04,62447868
4/18/2019,9.04,9.48,8.9,9.48,9.48,63223176
4/19/2019,9.48,11.7,9.46,11.45,11.45,207249542
4/20/2019,11.45,11.63,10.22,11.14,11.14,128491247
4/21/2019,11.14,11.88,10.75,11.3,11.3,127952499
4/22/2019,11.3,12.03,11.23,11.62,11.62,93683579
4/23/2019,11.62,16.139999,11.61,15.11,15.11,451361989
4/24/2019,15.11,15.52,13.37,14.46,14.46,414467803
4/25/2019,14.46,15.59,13.85,15.44,15.44,180832731
4/26/2019,15.44,17.9,14.77,16.610001,16.610001,268945990
4/27/2019,16.610001,19.49,16.440001,18.780001,18.780001,336795670
4/28/2019,18.780001,23.02,18.74,21.41,21.41,535736275
4/29/2019,21.41,21.639999,16.52,17.459999,17.459999,475578188
4/30/2019,17.459999,19.030001,15.92,18.74,18.74,337742031
5/1/2019,18.74,19.620001,18.18,19.23,19.23,243458284
5/2/2019,19.23,19.35,16.860001,17.67,17.67,241714019
5/3/2019,17.67,18.040001,16.24,17.049999,17.049999,146875689
5/4/2019,17.049999,18.65,17.02,17.77,17.77,132491229
5/5/2019,17.77,17.99,16.549999,17.389999,17.389999,132244229
5/6/2019,17.389999,18.42,16.620001,17.799999,17.799999,200543250
5/7/2019,17.799999,18.959999,17.68,17.959999,17.959999,139276323
5/8/2019,17.959999,18.09,16.99,17.790001,17.790001,117484283
5/9/2019,17.790001,18.75,17.32,17.32,17.32,144278684
5/10/2019,17.32,17.65,13.92,14.82,14.82,447646972
5/11/2019,14.82,15.14,12.07,13.95,13.95,360573041
5/12/2019,13.95,15.12,13.41,14.59,14.59,152739698
5/13/2019,14.59,14.72,12.94,13.8,13.8,180775937
5/14/2019,13.8,14.39,12.4,12.8,12.8,129442284
5/15/2019,12.8,13.07,11.83,12.67,12.67,142718703
5/16/2019,12.67,13.95,12,12.23,12.23,168428381
5/19/2019,12.91,13.01,12.6,12.87,12.87,9547496
